Emittent;CO2-Äquivalent;Typ Emittent
USA;6,340;Country
Russland;2,157;Country
Japan;1,168;Country
Deutschland;760;Country
Kanada;670;Country
Australien;528;Country
Türkei;564;Country
Vereinigtes Königreich;429;Country
Frankreich;420;Country
Italien;418;Country
Polen;399;Country
Ukraine;327;Country
Spanien;289;Country
Schweiz;45;Country
Mediterranean Shipping Company;11.04;Company
APM-Maersk;8.22;Company
CMA CGM Group;5.67;Company
Hapag-Lloyd;4.32;Company
COSCO Group;3.71;Company
ONE (Ocean Network Express);2.32;Company
Evergreen Line;1.48;Company
Yang Ming Marine Transport Corp.;0.8;Company
UniFeeder;0.4;Company
X-Press Feeders Group;0.34;Company